lon,lat,mag,time_string,depth,catalog_id,event_id
14.92,38.37,4.1,2014-01-14T03:43:42,12.0,,412
14.94,38.36,4.2,2014-01-14T04:35:00,11.0,,413
19.48,41.39,4.6,2014-01-20T06:00:15,10.0,,414
14.45,41.36,4.4,2014-01-20T07:12:40,11.0,,415
22.01,38.3,4.3,2014-01-24T22:08:48,10.0,,416
20.41,38.19,6.2,2014-01-26T13:55:43,18.0,,417
20.29,38.33,4.6,2014-01-26T14:59:24,10.0,,418
20.27,38.33,5.5,2014-01-26T18:45:00,10.0,,419
20.22,38.21,4.4,2014-01-26T19:03:00,10.0,,420
19.96,43.28,4.6,2014-01-26T19:06:40,10.0,,421
20.31,38.25,4.7,2014-01-26T19:12:00,10.0,,422
20.26,38.14,4.7,2014-01-26T21:15:34,10.0,,423
20.31,38.17,4.4,2014-01-26T23:06:54,10.0,,424
20.31,38.16,4.4,2014-01-27T09:47:38,10.0,,425
20.32,38.27,4.6,2014-01-27T13:05:50,10.0,,426
20.36,38.37,4.5,2014-01-27T15:39:34,10.0,,427
20.37,38.24,4.3,2014-01-28T05:12:54,10.0,,428
20.4,38.41,4.4,2014-01-28T19:12:11,10.0,,429
20.35,38.42,4.5,2014-01-28T22:22:38,10.0,,430
21.83,37.1,4.5,2014-01-29T21:04:10,17.0,,431
20.39,38.43,4.7,2014-01-30T11:06:18,10.0,,432
